channel,per_channel_auc,probe_weight_abs
92,0.556902230096511,0.080055244
174,0.6313995876052516,0.07996132
186,0.49293537519878794,0.07980994
156,0.4448690271173371,0.079755835
175,0.4352143076585473,0.07737794
145,0.598345419550676,0.07731564
59,0.431069595569882,0.07711916
74,0.5390677524267644,0.07615853
49,0.4566857007344771,0.076004155
254,0.4339758204837005,0.0755758
184,0.4993852372821639,0.07516128
143,0.44406904381595846,0.07402125
1,0.4734489572978658,0.07389807
105,0.4648822569716744,0.07349692
161,0.5568741629488192,0.073347315
117,0.5182274366217378,0.07333719
250,0.3798376802205267,0.07260949
83,0.4302884815357836,0.07203646
115,0.4067461241275845,0.07114254
127,0.43958517634531,0.070932746
152,0.5622236691155064,0.069995746
191,0.5134160179121128,0.0699173
38,0.6228002916575961,0.0679518
154,0.49385438522408065,0.067845024
207,0.5598266858831953,0.06635709
228,0.47029755081058255,0.0625593
239,0.4474909887769527,0.06166783
123,0.4956628618289624,0.060039468
142,0.49538301977518934,0.05992969
14,0.5825833371364225,0.05982319
153,0.5242997446247487,0.05979097
219,0.47275494563331055,0.057990324
166,0.4826086373837545,0.05778723
42,0.43800158698102043,0.057468966
94,0.45859379676816114,0.057211477
88,0.4775085420879572,0.056257058
199,0.5534393442250309,0.05600467
205,0.5841978466646908,0.055929787
251,0.5556278756818239,0.055101864
58,0.5043459391313395,0.055068024
206,0.5060918212600553,0.05381677
129,0.5223886852414787,0.052176323
246,0.5699811803040198,0.05013266
162,0.4721746436243177,0.050063368
149,0.602557372004193,0.05000676
98,0.4633814128607361,0.049958
90,0.5701205456864663,0.04953278
87,0.5244810976851864,0.04951575
118,0.478832320575062,0.04923644
67,0.5354111531928026,0.048792325
200,0.541656690945238,0.048493642
121,0.5253328726786949,0.046484143
29,0.4750831218028916,0.04605411
241,0.44947341177314004,0.045981597
160,0.45525987985735356,0.0455789
248,0.44937852277525836,0.04547189
134,0.5297521338827267,0.04458568
195,0.5165566721483607,0.044479225
17,0.4871838121291442,0.044427816
81,0.4825140116295844,0.044306308
2,0.5238490344962043,0.044136196
221,0.45760128465728916,0.04348302
53,0.5127388896028788,0.042424586
80,0.5091974876880453,0.041960638
10,0.48139865160818224,0.041659225
193,0.5084821129788504,0.041593894
198,0.5428096080894766,0.041456006
25,0.47652670695318355,0.041418426
157,0.5011890168533677,0.040654533
76,0.5192088781586404,0.040619288
229,0.5796495940311609,0.040462762
13,0.567011699701086,0.04032379
119,0.5011250327196808,0.039912928
140,0.520374475064412,0.039829243
249,0.5388189369360391,0.039725672
252,0.5215883240791497,0.03955222
183,0.4285761035734176,0.039455295
71,0.473569176530656,0.039390992
